Date,Search Trends
2017-08-08,1206
2017-08-09,1177
2017-08-10,1137
2017-08-11,1202
2017-08-12,1146
2017-08-13,1088
2017-08-14,1250
2017-08-15,1286
2017-08-16,1223
2017-08-17,1186
2017-08-18,1145
2017-08-19,1108
2017-08-20,1054
2017-08-21,1139
2017-08-22,1221
2017-08-23,1202
2017-08-24,1191
2017-08-25,1176
2017-08-26,1079
2017-08-27,1112
2017-08-28,1236
2017-08-29,1249
2017-08-30,1168
2017-08-31,1105
2017-09-01,1100
2017-09-02,1059
2017-09-03,1135
2017-09-04,1215
2017-09-05,1108
2017-09-06,1172
2017-09-07,1169
2017-09-08,1138
2017-09-09,1089
2017-09-10,1103
2017-09-11,1209
2017-09-12,1175
2017-09-13,1183
2017-09-14,1142
2017-09-15,1089
2017-09-16,998
2017-09-17,1022
2017-09-18,1203
2017-09-19,1114
2017-09-20,1078
2017-09-21,1124
2017-09-22,1070
2017-09-23,1005
2017-09-24,1014
2017-09-25,1177
2017-09-26,1192
2017-09-27,1179
2017-09-28,1193
2017-09-29,1159
2017-09-30,1075
2017-10-01,1071
2017-10-02,1144
2017-10-03,1156
2017-10-04,1226
2017-10-05,1116
2017-10-06,1100
2017-10-07,1055
2017-10-08,1104
2017-10-09,1211
2017-10-10,1077
2017-10-11,832
2017-10-12,840
2017-10-13,804
2017-10-14,744
2017-10-15,712
2017-10-16,883
2017-10-17,940
2017-10-18,1207
2017-10-19,1210
2017-10-20,1156
2017-10-21,1130
2017-10-22,1121
2017-10-23,1230
2017-10-24,1183
2017-10-25,1087
2017-10-26,1091
2017-10-27,1060
2017-10-28,964
2017-10-29,1016
2017-10-30,1254
2017-10-31,1165
2017-11-01,1257
2017-11-02,1276
2017-11-03,1236
2017-11-04,1114
2017-11-05,1120
2017-11-06,1244
2017-11-07,1261
2017-11-08,1213
2017-11-09,1197
2017-11-10,1154
2017-11-11,1079
2017-11-12,1095
2017-11-13,1218
2017-11-14,1204
2017-11-15,1146
2017-11-16,1130
2017-11-17,1109
2017-11-18,1013
2017-11-19,1025
2017-11-20,1178
2017-11-21,1193
2017-11-22,1203
2017-11-23,1217
2017-11-24,1240
2017-11-25,1083
2017-11-26,1085
2017-11-27,1228
2017-11-28,1222
2017-11-29,1235
2017-11-30,1196
2017-12-01,1161
2017-12-02,1105
2017-12-03,1173
2017-12-04,1262
2017-12-05,1224
2017-12-06,1159
2017-12-07,1091
2017-12-08,1102
2017-12-09,1075
2017-12-10,1068
2017-12-11,1234
2017-12-12,1231
2017-12-13,1197
2017-12-14,1177
2017-12-15,1161
2017-12-16,1128
2017-12-17,1143
2017-12-18,1272
2017-12-19,1297
2017-12-20,1236
2017-12-21,1220
2017-12-22,1124
2017-12-23,996
2017-12-24,741
2017-12-25,965
2017-12-26,1257
2017-12-27,1294
2017-12-28,1233
2017-12-29,1143
2017-12-30,1007
2017-12-31,749
2018-01-01,904
2018-01-02,1256
2018-01-03,1271
2018-01-04,1257
2018-01-05,1250
2018-01-06,1123
2018-01-07,1090
2018-01-08,1251
2018-01-09,1257
2018-01-10,1261
2018-01-11,1239
2018-01-12,1231
2018-01-13,1182
2018-01-14,1220
2018-01-15,1292
2018-01-16,1267
2018-01-17,1290
2018-01-18,1260
2018-01-19,1247
2018-01-20,1139
2018-01-21,1108
2018-01-22,1290
2018-01-23,1277
2018-01-24,1263
2018-01-25,1247
2018-01-26,1213
2018-01-27,1144
2018-01-28,1010
2018-01-29,1210
2018-01-30,1257
2018-01-31,1276
2018-02-01,1263
2018-02-02,1232
2018-02-03,1146
2018-02-04,1104
2018-02-05,1265
2018-02-06,1266
2018-02-07,1302
2018-02-08,1272
2018-02-09,1242
2018-02-10,1134
2018-02-11,1129
2018-02-12,1145
2018-02-13,1187
2018-02-14,1195
2018-02-15,1270
2018-02-16,1206
2018-02-17,1130
2018-02-18,1121
