Date,Close,Search Trends
2017-05-12,286.77,970.0
2017-05-15,295.48,1101.0
2017-05-16,297.09,1076.0
2017-05-17,278.54,1140.0
2017-05-18,270.81,1105.0
2017-05-19,272.55,1062.0
2017-05-22,275.23,1064.0
2017-05-23,281.8,1065.0
2017-05-24,286.2,1181.0
2017-05-25,292.85,1186.0
2017-05-26,286.59,1109.0
2017-05-30,280.06,1087.0
2017-05-31,274.97,1197.0
2017-06-01,280.51,1184.0
2017-06-02,280.14,1146.0
2017-06-06,280.32,1165.0
2017-06-07,285.35,1184.0
2017-06-08,288.28,1173.0
2017-06-09,274.57,1120.0
2017-06-12,270.32,1234.0
2017-06-13,272.89,1217.0
2017-06-14,265.0,1229.0
2017-06-15,262.795,1231.0
2017-06-16,263.56,1151.0
2017-06-19,273.96,1135.0
2017-06-20,271.22,1149.0
2017-06-22,275.43,1179.0
2017-06-23,274.71,1148.0
2017-06-26,268.055,1245.0
2017-06-27,255.93,1210.0
2017-06-28,261.87,1067.0
2017-06-29,252.19,1080.0
2017-06-30,250.87,1027.0
2017-07-03,250.87,1171.0
2017-07-05,249.08,1138.0
2017-07-06,251.09,1150.0
2017-07-07,255.43,1155.0
2017-07-10,259.78,1219.0
2017-07-11,262.46,1190.0
2017-07-12,274.35,1195.0
2017-07-13,271.55,1169.0
2017-07-14,273.51,1132.0
2017-07-17,276.09,1214.0
2017-07-18,280.13,1213.0
2017-07-19,280.68,1187.0
2017-07-20,282.04,1052.0
2017-07-21,280.22,1117.0
2017-07-24,282.38,1196.0
2017-07-25,279.25,1200.0
2017-07-26,285.92,1127.0
2017-07-27,286.62,1108.0
2017-07-28,288.97,1074.0
2017-07-31,288.36,1218.0
2017-08-01,288.81,1200.0
2017-08-02,286.57,1141.0
2017-08-03,266.3,1161.0
2017-08-04,260.29,1109.0
2017-08-07,255.99,1326.0
2017-08-08,251.92,1206.0
2017-08-09,251.69,1177.0
2017-08-10,232.62,1137.0
2017-08-11,240.19,1202.0
2017-08-14,236.91,1250.0
2017-08-15,236.17,1286.0
2017-08-16,241.81,1223.0
2017-08-17,234.17,1186.0
2017-08-18,236.57,1145.0
2017-08-21,241.93,1139.0
2017-08-22,243.18,1221.0
2017-08-23,243.82,1202.0
2017-08-24,243.52,1191.0
2017-08-25,246.69,1176.0
2017-08-28,242.43,1236.0
2017-08-29,240.76,1249.0
2017-08-30,246.86,1168.0
2017-09-01,252.0,1100.0
2017-09-05,256.72,1108.0
2017-09-06,258.01,1172.0
2017-09-07,258.67,1169.0
2017-09-08,260.08,1138.0
2017-09-11,285.25,1209.0
2017-09-12,290.695,1175.0
2017-09-13,292.14,1183.0
2017-09-14,287.81,1142.0
2017-09-15,282.59,1089.0
2017-09-18,289.71,1203.0
2017-09-19,289.79,1114.0
2017-09-20,289.8,1078.0
2017-09-21,281.84,1124.0
2017-09-22,279.56,1070.0
2017-09-25,270.38,1177.0
2017-09-26,269.19,1192.0
2017-09-27,266.96,1179.0
2017-09-28,262.05,1193.0
2017-09-29,259.2,1159.0
2017-10-02,263.56,1144.0
2017-10-03,264.56,1156.0
2017-10-04,263.87,1226.0
2017-10-05,270.05,1116.0
2017-10-06,268.85,1100.0
2017-10-09,269.89,1211.0
2017-10-10,273.46,1077.0
2017-10-11,274.49,832.0
2017-10-12,246.34,840.0
2017-10-13,244.86,804.0
2017-10-16,232.9,883.0
2017-10-17,234.58,940.0
2017-10-18,242.41,1207.0
2017-10-19,235.885,1210.0
2017-10-20,235.69,1156.0
2017-10-23,226.51,1230.0
2017-10-24,225.37,1183.0
2017-10-25,221.43,1087.0
2017-10-26,228.885,1091.0
2017-10-27,236.42,1060.0
2017-10-30,234.7,1254.0
2017-10-31,240.27,1165.0
2017-11-01,238.88,1257.0
2017-11-02,236.33,1276.0
2017-11-03,267.36,1236.0
2017-11-06,268.79,1244.0
2017-11-08,260.09,1213.0
2017-11-09,266.23,1197.0
2017-11-13,266.97,1218.0
2017-11-14,262.91,1204.0
2017-11-15,263.76,1146.0
2017-11-16,262.39,1130.0
2017-11-17,269.89,1109.0
2017-11-20,266.065,1178.0
2017-11-21,268.9,1193.0
2017-11-22,265.79,1203.0
2017-11-24,271.12,1240.0
2017-11-27,272.65,1228.0
2017-11-30,275.36,1196.0
2017-12-01,272.89,1161.0
2017-12-04,271.74,1262.0
2017-12-05,271.01,1224.0
2017-12-06,272.26,1159.0
2017-12-07,272.72,1091.0
2017-12-08,276.47,1102.0
2017-12-11,289.1,1234.0
2017-12-12,295.09,1231.0
2017-12-13,318.91,1197.0
2017-12-15,318.87,1161.0
2017-12-18,326.11,1272.0
2017-12-19,329.29,1297.0
2017-12-20,314.94,1236.0
2017-12-21,318.47,1220.0
2017-12-22,314.22,1124.0
2017-12-26,318.61,1257.0
2017-12-27,318.985,1294.0
2017-12-28,315.42,1233.0
2017-12-29,315.07,1143.0
2018-01-02,322.44,1256.0
2018-01-03,329.11,1271.0
2018-01-04,325.89,1257.0
2018-01-05,330.62,1250.0
2018-01-08,340.56,1251.0
2018-01-09,337.38,1257.0
2018-01-10,339.59,1261.0
2018-01-11,341.81,1239.0
2018-01-12,342.47,1231.0
2018-01-16,339.7,1267.0
2018-01-17,340.44,1290.0
2018-01-18,341.775,1260.0
2018-01-19,345.27,1247.0
2018-01-22,352.1,1290.0
2018-01-23,355.31,1277.0
2018-01-24,355.57,1263.0
2018-01-25,360.43,1247.0
2018-01-26,381.49,1213.0
2018-01-29,390.37,1210.0
2018-01-30,386.98,1257.0
2018-01-31,387.09,1276.0
2018-02-01,378.77,1263.0
2018-02-02,368.5,1232.0
2018-02-05,353.04,1265.0
2018-02-06,350.32,1266.0
2018-02-07,343.58,1302.0
2018-02-08,346.0,1272.0
2018-02-09,335.69,1242.0
2018-02-12,353.38,1145.0
2018-02-13,366.73,1187.0
2018-02-14,375.73,1195.0
2018-02-15,379.09,1270.0
2018-02-16,370.1,1206.0
2018-02-20,375.92,1244.0
2018-02-21,372.83,1238.0
2018-02-22,358.0,1199.0
2018-02-23,386.91,1187.0
2018-02-26,392.6,1253.0
2018-02-27,375.505,1244.0
2018-02-28,388.12,1212.0
2018-03-01,385.45,1160.0
2018-03-02,389.115,1265.0
2018-03-05,391.09,1199.0
2018-03-06,410.26,1200.0
2018-03-07,407.88,1248.0
2018-03-08,397.07,1198.0
2018-03-09,413.73,1215.0
2018-03-12,410.28,1270.0
2018-03-13,406.37,1253.0
2018-03-14,404.96,1174.0
2018-03-15,386.9,1182.0
2018-03-16,378.37,1176.0
2018-03-19,366.3,1220.0
2018-03-20,364.71,1215.0
2018-03-21,361.77,1221.0
2018-03-22,350.71,1202.0
2018-03-23,344.44,1119.0
2018-03-26,353.54,1233.0
2018-03-27,352.4,1131.0
2018-03-28,341.58,1111.0
2018-03-29,356.38,1036.0
2018-04-02,347.0,1226.0
2018-04-03,343.08,1221.0
2018-04-04,355.91,1186.0
2018-04-05,352.06,1225.0
2018-04-06,342.42,1214.0
2018-04-09,342.59,1227.0
2018-04-10,347.94,1196.0
2018-04-11,328.38,1226.0
2018-04-12,327.18,1244.0
2018-04-13,329.21,1176.0
2018-04-16,322.72,1265.0
2018-04-17,337.56,1253.0
2018-04-18,345.15,1209.0
2018-04-19,330.0,1171.0
2018-04-20,324.42,1200.0
2018-04-24,328.64,1197.0
2018-04-25,336.18,1184.0
2018-04-26,344.49,1171.0
2018-04-27,341.07,1149.0
2018-04-30,340.005,1153.0
2018-05-01,339.22,1112.0
2018-05-02,333.32,1195.0
2018-05-03,330.18,1172.0
2018-05-04,329.74,1176.0
2018-05-07,339.41,1228.0
2018-05-08,333.19,1187.0
2018-05-09,310.55,1044.0
2018-05-10,316.12,1053.0
2018-05-11,308.97,1017.0
2018-05-14,298.44,1227.0
2018-05-15,290.76,1143.0
2018-05-16,305.42,1241.0
2018-05-17,298.95,1206.0
2018-05-18,295.44,1148.0
2018-05-21,290.59,1195.0
2018-05-22,294.89,1190.0
2018-05-23,304.78,1215.0
2018-05-24,314.61,1159.0
2018-05-25,314.6,1089.0
2018-05-29,297.63,1195.0
2018-05-30,302.28,1257.0
2018-05-31,290.93,1235.0
2018-06-01,296.75,1183.0
2018-06-04,307.77,1225.0
2018-06-05,307.06,1227.0
2018-06-06,315.0,1213.0
2018-06-07,288.33,1191.0
2018-06-08,288.68,1151.0
2018-06-11,297.75,1231.0
2018-06-13,290.79,1243.0
2018-06-14,304.8,1191.0
2018-06-15,303.7,1129.0
2018-06-18,294.75,1204.0
2018-06-19,295.39,1168.0
2018-06-20,300.48,1116.0
2018-06-21,287.48,1044.0
2018-06-22,290.84,1067.0
2018-06-25,288.28,1158.0
2018-06-26,298.53,1067.0
2018-06-27,285.08,1150.0
2018-06-28,296.81,1185.0
2018-06-29,298.98,1220.0
2018-07-03,297.49,1161.0
2018-07-05,304.52,1142.0
2018-07-06,312.64,1069.0
2018-07-10,308.1,1173.0
2018-07-11,303.15,1188.0
2018-07-13,327.67,1141.0
2018-07-16,343.59,1230.0
2018-07-17,359.35,1257.0
2018-07-18,369.43,1246.0
2018-07-19,374.85,1193.0
2018-07-20,373.65,1065.0
2018-07-23,364.35,1206.0
2018-07-24,352.93,1229.0
2018-07-25,364.93,1260.0
2018-07-26,363.78,1246.0
2018-07-27,354.56,1197.0
2018-07-30,343.25,1273.0
2018-07-31,343.06,1227.0
2018-08-01,345.96,1268.0
2018-08-02,339.0,1246.0
2018-08-03,343.95,1181.0
2018-08-06,348.13,1240.0
2018-08-07,347.42,1223.0
2018-08-08,344.61,1255.0
2018-08-09,384.44,1230.0
2018-08-10,372.34,1160.0
2018-08-13,359.06,1273.0
2018-08-14,363.59,1269.0
2018-08-15,344.84,1298.0
2018-08-16,334.68,1275.0
2018-08-17,324.09,1190.0
2018-08-20,319.64,1108.0
2018-08-21,328.5,1231.0
2018-08-22,344.99,1272.0
2018-08-23,348.27,1249.0
2018-08-24,367.68,1191.0
2018-08-27,374.99,1273.0
2018-08-28,378.08,1248.0
2018-08-29,377.67,1240.0
2018-08-30,340.01,1231.0
2018-08-31,341.95,1212.0
2018-09-04,342.12,1242.0
2018-09-05,328.2,1238.0
2018-09-06,320.59,1178.0
2018-09-07,326.38,1096.0
2018-09-10,319.4,1259.0
2018-09-11,318.95,1247.0
2018-09-12,316.695,1243.0
2018-09-13,320.61,1230.0
2018-09-14,325.05,1127.0
2018-09-17,322.02,1215.0
2018-09-18,314.87,1174.0
2018-09-19,315.74,996.0
2018-09-20,324.0,970.0
2018-09-24,331.65,1179.0
2018-09-25,319.67,1190.0
2018-09-26,330.61,1202.0
2018-09-27,340.07,1239.0
2018-09-28,340.55,1210.0
2018-10-01,332.44,1245.0
2018-10-02,354.49,1205.0
2018-10-03,354.2,1202.0
2018-10-04,339.4,1148.0
2018-10-05,335.59,1118.0
2018-10-08,339.32,1230.0
2018-10-09,340.15,1229.0
2018-10-10,318.85,1275.0
2018-10-11,305.0,1262.0
2018-10-12,303.45,1198.0
2018-10-15,294.76,1166.0
2018-10-16,303.135,1207.0
2018-10-17,313.31,1177.0
2018-10-18,299.11,1191.0
2018-10-19,301.87,1065.0
2018-10-22,313.79,1220.0
2018-10-23,306.74,1192.0
2018-10-24,291.22,1245.0
2018-10-25,297.61,1221.0
2018-10-26,295.37,1189.0
2018-10-29,288.92,1298.0
2018-10-30,309.74,1254.0
2018-10-31,324.93,1288.0
2018-11-01,331.52,1270.0
2018-11-02,354.32,1252.0
2018-11-05,357.8,1330.0
2018-11-06,336.41,1213.0
2018-11-07,349.62,1190.0
2018-11-08,331.55,949.0
2018-11-09,325.91,893.0
2018-11-12,321.83,969.0
2018-11-13,327.8,1038.0
2018-11-14,336.92,1205.0
2018-11-15,340.38,1181.0
2018-11-16,344.37,1258.0
2018-11-19,335.51,1246.0
2018-11-20,313.83,1307.0
2018-11-21,319.06,1292.0
2018-11-23,309.55,1357.0
2018-11-26,321.54,1285.0
2018-11-27,331.79,1218.0
2018-11-28,345.78,1287.0
2018-11-29,358.3,1239.0
2018-11-30,351.81,1147.0
2018-12-03,369.45,1299.0
2018-12-04,354.8,1314.0
2018-12-06,350.52,1261.0
2018-12-07,347.03,1187.0
2018-12-10,353.76,1333.0
2018-12-11,355.27,1352.0
2018-12-12,361.67,1305.0
2018-12-13,333.43,1293.0
2018-12-14,326.68,1206.0
2018-12-17,310.39,1314.0
2018-12-18,311.03,1332.0
2018-12-19,312.62,1399.0
2018-12-20,306.35,1336.0
2018-12-21,286.52,1207.0
2018-12-24,257.86,36.0
2018-12-26,281.83,1449.0
2018-12-27,288.94,1395.0
2018-12-28,292.25,1299.0
2018-12-31,292.84,44.0
2019-01-02,298.02,1333.0
2019-01-03,296.51,1337.0
2019-01-04,315.15,1327.0
2019-01-07,329.22,1341.0
2019-01-08,328.4,1362.0
2019-01-09,339.87,1336.0
2019-01-10,339.41,1314.0
2019-01-11,344.92,1243.0
2019-01-14,339.67,1292.0
2019-01-15,350.17,1345.0
2019-01-16,344.98,1319.0
2019-01-17,342.15,1312.0
2019-01-18,350.59,1273.0
2019-01-22,330.62,1306.0
2019-01-23,328.98,1287.0
2019-01-24,338.91,1336.0
2019-01-25,342.6,1338.0
2019-01-28,355.13,1359.0
2019-01-29,351.39,1358.0
2019-01-30,362.31,1325.0
2019-01-31,363.93,1331.0
2019-02-01,364.54,1255.0
2019-02-04,367.91,1247.0
2019-02-05,363.25,1345.0
2019-02-06,358.6,1317.0
2019-02-07,358.12,1305.0
2019-02-08,347.63,1255.0
2019-02-11,350.73,1342.0
2019-02-12,363.8,1327.0
2019-02-13,360.57,1324.0
2019-02-14,359.94,1246.0
2019-02-15,363.31,1268.0
2019-02-19,366.79,1302.0
2019-02-20,368.04,1366.0
2019-02-21,364.97,1330.0
2019-02-22,373.91,1257.0
2019-02-25,375.06,1305.0
2019-02-26,401.12,1314.0
2019-02-27,447.99,1324.0
2019-02-28,458.88,1286.0
2019-03-01,451.79,1220.0
2019-03-04,463.68,1180.0
2019-03-05,467.78,1197.0
2019-03-06,461.33,1335.0
2019-03-07,451.12,1269.0
2019-03-08,449.24,1099.0
2019-03-11,481.12,1245.0
2019-03-12,483.56,1306.0
2019-03-13,507.4,1234.0
2019-03-14,493.79,1263.0
2019-03-15,488.78,1257.0
2019-03-18,484.86,1315.0
2019-03-19,482.22,1339.0
2019-03-20,497.85,1306.0
2019-03-21,504.02,1315.0
2019-03-22,498.02,1237.0
2019-03-25,495.0,1271.0
2019-03-26,493.88,1169.0
2019-03-27,484.69,1323.0
2019-03-28,497.15,1286.0
2019-03-29,507.82,1167.0
2019-04-01,517.72,1198.0
2019-04-02,509.96,1156.0
2019-04-03,508.71,1282.0
2019-04-04,501.22,1278.0
2019-04-05,502.63,1230.0
2019-04-08,506.49,1271.0
2019-04-09,504.93,1276.0
2019-04-10,514.16,1256.0
2019-04-11,503.72,1305.0
2019-04-12,504.71,1229.0
2019-04-15,513.98,1266.0
2019-04-16,502.06,1244.0
2019-04-17,498.07,1082.0
2019-04-18,492.36,1009.0
2019-04-22,490.55,1261.0
2019-04-23,500.23,1250.0
2019-04-24,486.05,1291.0
2019-04-25,487.63,1285.0
2019-04-26,489.8,1248.0
2019-04-29,493.9,1222.0
2019-04-30,484.77,1096.0
2019-05-01,485.0,1074.0
2019-05-02,541.0,1229.0
2019-05-03,578.67,1193.0
2019-05-06,567.96,1294.0
2019-05-07,539.19,1184.0
2019-05-08,536.29,921.0
2019-05-09,542.73,949.0
2019-05-10,557.7,900.0
2019-05-13,543.41,1286.0
2019-05-14,562.1,1182.0
2019-05-15,572.67,1274.0
2019-05-16,595.42,1135.0
2019-05-17,574.38,1085.0
2019-05-20,574.95,1115.0
2019-05-21,572.73,1154.0
2019-05-22,569.22,1242.0
2019-05-23,580.87,1199.0
2019-05-24,592.29,1155.0
2019-05-28,600.7,1264.0
2019-05-29,573.08,1303.0
2019-05-30,577.39,1274.0
2019-05-31,570.92,1234.0
2019-06-03,568.36,1284.0
2019-06-04,551.45,1297.0
2019-06-05,568.58,1253.0
2019-06-06,581.42,1229.0
2019-06-07,604.5,1165.0
2019-06-10,616.64,1301.0
2019-06-11,611.4357,1302.0
2019-06-12,623.38,1327.0
2019-06-13,635.245,1291.0
2019-06-14,615.43,1240.0
2019-06-17,618.56,1232.0
2019-06-18,622.38,1290.0
2019-06-19,641.3,1239.0
2019-06-20,636.44,1236.0
2019-06-21,630.19,1257.0
2019-06-24,622.03,1274.0
2019-06-25,614.58,1304.0
2019-06-26,609.22,1270.0
2019-06-27,611.09,1223.0
2019-06-28,611.66,1150.0
2019-07-01,619.42,1272.0
2019-07-02,627.05,1192.0
2019-07-03,632.36,1141.0
2019-07-05,638.44,1158.0
2019-07-08,630.26,1224.0
2019-07-09,640.675,1210.0
2019-07-10,633.59,1308.0
2019-07-11,634.67,1286.0
2019-07-12,644.75,1246.0
2019-07-15,645.6,1237.0
2019-07-16,633.89,1226.0
2019-07-17,632.05,1314.0
2019-07-18,648.67,1275.0
2019-07-19,627.08,1185.0
2019-07-22,636.34,1259.0
2019-07-23,635.18,1271.0
2019-07-24,660.25,1262.0
2019-07-25,652.48,1264.0
2019-07-26,654.65,1194.0
2019-07-29,653.39,1288.0
2019-07-30,633.59,1293.0
2019-07-31,621.58,1265.0
2019-08-01,626.75,1234.0
2019-08-05,574.69,1277.0
2019-08-06,600.78,1258.0
2019-08-08,687.94,1235.0
2019-08-09,690.24,1221.0
2019-08-12,624.02,1306.0
2019-08-13,637.56,1316.0
2019-08-14,620.33,1312.0
2019-08-15,613.24,1308.0
2019-08-16,623.67,1230.0
2019-08-19,604.27,1213.0
2019-08-20,612.14,1267.0
2019-08-22,619.54,1288.0
2019-08-23,598.51,1241.0
2019-08-26,602.06,1305.0
2019-08-27,593.95,1287.0
2019-08-28,587.32,1292.0
2019-08-29,593.94,1271.0
2019-08-30,594.36,1251.0
2019-09-03,580.78,1292.0
2019-09-04,589.97,1202.0
2019-09-05,605.63,1198.0
2019-09-06,597.23,1152.0
2019-09-09,571.11,1271.0
2019-09-10,549.225,1248.0
2019-09-11,561.2,1301.0
2019-09-12,571.07,1261.0
2019-09-13,566.56,1199.0
2019-09-16,553.6,1229.0
2019-09-17,549.75,1243.0
2019-09-18,542.03,1185.0
2019-09-19,549.61,1188.0
2019-09-20,547.39,1131.0
2019-09-23,540.09,1227.0
2019-09-24,537.85,1262.0
2019-09-25,546.0,1269.0
2019-09-26,549.13,1248.0
2019-09-27,541.59,1206.0
2019-09-30,550.48,1284.0
2019-10-01,550.48,1242.0
2019-10-02,543.99,1239.0
2019-10-03,557.51,1234.0
2019-10-04,559.115,1214.0
2019-10-07,548.65,1295.0
2019-10-08,525.54,1302.0
2019-10-09,531.9,1296.0
2019-10-10,542.73,1244.0
2019-10-11,554.1,1222.0
2019-10-14,555.12,1210.0
2019-10-15,566.29,1300.0
2019-10-16,548.98,1309.0
2019-10-17,548.87,1301.0
2019-10-18,536.03,1192.0
2019-10-21,545.56,1284.0
2019-10-22,536.85,1244.0
2019-10-23,541.75,1281.0
2019-10-24,551.46,1274.0
